id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price,name_modified,fingerprint
1,Consomme printaniere royal,,10,10,1897,1927,0.2,0.4,consomme printaniere royal,consomme printaniere royal
2,Chicken gumbo,,109,115,1895,1960,0.1,0.8,chicken gumbo,chicken gumbo
7,Radishes,,3185,3268,1854,2928,0,25,radishes,radishes
8,Chicken soup with rice,,47,48,1897,1961,0.1,0.6,"soup, chicken with rice",chicken rice soup with
9,Clam broth (cup),,15,17,1899,1962,0.15,0.4,"broth, clam (cup)",broth clam cup
11,Clear green turtle,,154,154,1893,1937,0.25,60,"soup, clear green turtle",clear green turtle
15,Celery,,4122,4551,1,2928,0,50,celery,celery
16,Pim-olas,,144,147,1897,1918,0.15,35,pim-olas,olas pim
18,Sardines,,1400,1458,1858,2928,0,50,sardines,sardines
20,Pickles,,449,469,1852,1987,0,10,pickles,pickles
26,Clams,,169,179,1881,1970,0.15,0.9,clams,clams
27,Oysters,,287,289,1862,1963,0,35,oysters,oysters
31,Sliced Bananas,,194,209,1900,1987,0,15,sliced bananas,bananas sliced
33,Sliced Tomatoes,,1147,1192,1873,2928,0,25,sliced tomatoes,sliced tomatoes
38,Apple Sauce,,664,731,1,1987,0,20,apple sauce,apple sauce
41,Strawberries,,294,329,1854,1985,0,50,strawberries,strawberries
43,BLUE POINTS,,874,898,1881,1968,0.15,50,blue points,blue points
47,SLICED CUCUMBERS,,456,459,1881,1964,0,25,sliced cucumbers,cucumbers sliced
48,SALTED ALMONDS,,775,783,1889,2012,0,10,salted almonds,almonds salted
54,Pears,,628,647,1852,1974,0,50,pears,pears
61,BROWNED POTATOES,,54,57,1893,1980,0.25,20,"potatoes, browned",browned potatoes
66,Grape fruit,,697,730,1895,1968,0,2540,grape fruit,fruit grape
67,Oranges,,1409,1465,1857,2012,0,25,oranges,oranges
68,Clam Fritters,,249,260,1880,1959,0.15,50,clam fritters,clam fritters
70,"Bouillon, en Tasse",,17,17,1897,1906,0.2,0.25,"bouillon, en tasse",bouillon en tasse
77,St. Julien,,323,373,1851,1970,0,175,st. julien,julien st
89,New beets,,134,139,1865,1981,0.05,25,new beets,beets new
91,Boiled rice,,822,831,1859,1969,0,25,boiled rice,boiled rice
94,Old fashioned rice pudding,,15,21,1899,1945,0.15,0.3,old fashioned rice pudding,fashioned old pudding rice
95,Ice cream,,1067,1187,1880,1993,0,20,ice cream,cream ice
96,Coffee,,7649,8370,1,2928,0,30,coffee,coffee
97,Tea,,4113,4710,1858,2012,0,25,tea,tea
98,Milk,,1859,2250,1890,2012,0,45,milk,milk
106,Orange marmalade,,442,461,1889,1970,0,4.5,orange marmalade,marmalade orange
107,Baked apples with cream,,135,138,1883,1945,0.1,20,baked apples with cream,apples baked cream with
108,Bananas,,1179,1198,1,2012,0,25,bananas,bananas
109,Bananas with cream,,76,77,1900,1957,0.1,0.5,bananas with cream,bananas cream with
111,Stewed prunes,,1230,1329,1881,1987,0,20,"prunes, stewed",prunes stewed
112,Fruit,,1922,2009,1854,2928,0,40,fruit,fruit
115,Apples,,1209,1233,1851,2012,0.05,25,apples,apples
116,Oranges sliced,,6,6,1900,1900,0,0,oranges sliced,oranges sliced
117,Stewed tomatoes,,1174,1222,1852,1985,0,25,"tomatoes, stewed",stewed tomatoes
125,"Eggs, boiled [2]",,6,6,1900,1918,0.2,0.25,"eggs, boiled (2)",2 boiled eggs
126,Sliced Bananas and Cream,,159,164,1900,1949,0.05,0.45,sliced bananas and cream,and bananas cream sliced
138,French rolls,,213,216,1880,1965,0.05,5,french rolls,french rolls
142,Boiled eggs,,536,552,1853,1987,0,20,"eggs, boiled",boiled eggs
147,Clam cocktail,,261,280,1900,1968,0.05,25,clam cocktail,clam cocktail
148,Oyster cocktail,,439,476,1896,1987,0,30,oyster cocktail,cocktail oyster
150,Little Neck clams,,1002,1083,1882,1989,0,50,"clams, little neck",clams little neck
